name,address,lat,lng,id,place_id
Afgan Tearoom & Grill,"72-03 Grand Avenue, Maspeth",40.7284489,-73.8914489,f51e2d24f809746d0cb36f07258e5f94170b8813,ChIJ3fb5XfZewokRWmLMLSI4l1g
Afghan Kebab House,"2589 Steinway Street, Astoria",40.7657018,-73.9131962,cd9476bdc0735714be88b05e63c4b7864d9e411d,ChIJB5jCEEBfwokRhARzDZhCZ9U
Afghan Kebob House,"259-11 Hillside Avenue, Floral Park",40.7374191,-73.708799,63dea2e4b774eae4e5b3492155dbfccc3b035f84,ChIJH-xOBWdiwokRTwmQiD9_Udk
Afghan Kebob House,"25911 Hillside Avenue, Glen Oaks",40.7373923,-73.7087791,55d595f1f9f843247eb9c468ba0e16f68d737da0,ChIJiZqS_WFiwokRI7aCvSYCGEw
African American Best Food Inc,"410 Malcolm X Boulevard, New York",40.8111251,-73.9426988,0e8d33b9ec6877413e09c5daec76719c82737fb2,ChIJgzcTnXP2wokR9Ku13jdENEo
Afternoones Restaurant,"415 Forest Avenue, Staten Island",40.6310061,-74.1032995,1cb2c5b7509897e0d5890878365393f193d53c6a,ChIJnw38VGpOwokRjssQ6HrIQ58
Aged.,"107-04 70th Road, Forest Hills",40.72075,-73.845649,a636e64ce2dcfa7a1ebed62ff0b511245e36096f,ChIJobxb2iZewokREMCvwQz97UE
Agnanti,"19-06 Ditmars Boulevard, New York",40.781072,-73.9179466,89c488abd8f9b5cca244cb44e835250513ab649d,ChIJ16J3sV5fwokR9aR0wep6w0Q
Agora Taverna,"70-09 Austin Street, Forest Hills",40.721094,-73.846553,310b82abd1e4c1b904a32b0bcce8e7ae70472a02,ChIJNQvYLyFewokR2Y8DUf4x14k
Agra,"21335 39th Avenue, Bayside",40.7655933,-73.7715772,01b378ce69f6fc2785b14a5bf8820a4e86c3f5b5,ChIJ0zKSSnWKwokRHgsCG8rS4d4
Agra Heights,"226 Wilson Avenue, Brooklyn",40.698048,-73.921415,70e2361524282de578d3b16e9071efeaf5d7affa,ChIJx9L_ihpcwokRvcdqDaeL9JE
Agra King,"1961 Flatbush Avenue, Brooklyn",40.6221029,-73.9360751,fd7271165f9f03f611617d20a31981907ff7fb90,ChIJe9d51VdDwokRG-qGWoHkTn8
Agra King,"1961 Flatbush Avenue, Brooklyn",40.6221142,-73.936055,a839a0839d0bc328c15babac40e2c404bcb7c607,ChIJe9d51VdDwokRvUwm7AaX6QI
Agra Taj Mahal,"1005 Manhattan Avenue, Brooklyn",40.7333133,-73.9550007,fdd7b0c0d8896dcd7f5cda322c293b9f5583fbe1,ChIJTURry1VZwokRkUCfIx7iM10
Ah Chihuahua,"330 East 53rd Street, New York",40.7561115,-73.9660244,4683fc69cb21eb1b776cdb79e69a00e4d4b673e7,ChIJWQBP2-NYwokRsQZQ7KhE-Iw
Ah Rhee Soo Korean Japanese Cuisine,"31-10 138th Street, Flushing",40.7698055,-73.830581,87440cda945c436998f2cb03105d196afb4c5b5f,ChIJqZj2GBBgwokRC6DaHbz-I68
Ahana,"1156 1st Avenue, New York",40.7622393,-73.9597447,11ad48e1b94d23869f777068586ead89b0960b21,ChIJzWhHA-hYwokR5uDyNdgoyV0
Ahome,"6329 Avenue N, Brooklyn",40.619883,-73.9163642,943fb3ad4e9839f894d0ed91d97de7c826bab43a,ChIJC3p_G0lDwokRCYPzVwHC_KA
Ai Fiori,"400 5th Avenue #2, New York",40.7502014,-73.9837903,c6299510ebec746f83179aaecc314d108abd40c3,ChIJMYIE-KlZwokRZuFHn8jkNuo
Aikou Asian cuisine,"251-13 Northern Boulevard, Little Neck",40.7693584,-73.7368779,679f1bd720b4bf2eac43331fbff33d4c0ce8fce3,ChIJn4SiCPCJwokRwdpI1ZODN2g
Airport Lobster,"LaGuardia Airport Entrance, Flushing",40.7728042,-73.8677103,609adcbd97bfe87394a53cd4b8c8c0a8b9b7267e,ChIJ_____4hfwokR17bwl_tuyCE
Airways Pizza & Gyro,"90-13 Astoria Boulevard, East Elmhurst",40.7637708,-73.878559,54f118367b62fd9528d478625591cd01c7aa5327,ChIJ82xKlZlfwokRacG_JIkdb90
